product_code,class_code,field,review_status,canonical_action,parser_value,reference_value,reviewed_value,value_used,source_page,validation_status_after_review,note
KR5119520012,C-PE,channel,PARSER_CORRECT,RESTORED_TO_CANONICAL,온라인,온라인슈퍼,,온라인,,REVIEWED_PARSER_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5119520012,C-PE,account_type,PARSER_CORRECT,RESTORED_TO_CANONICAL,연금저축,퇴직연금/IRP,,연금저축,,REVIEWED_PARSER_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5122420005,C-PE2,channel,REFERENCE_CORRECT,RESTORED_TO_CANONICAL,온라인,오프라인,,오프라인,,REVIEWED_REFERENCE_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5122420005,O,channel,AMBIGUOUS,EXCLUDED_FROM_CANONICAL,불명,오프라인,,,,,원문에 디폴트옵션·퇴직연금 표기만 있고 판매채널을 특정할 근거 없음
KR5139420020,C,total_expense_ratio,PARSER_CORRECT,RESTORED_TO_CANONICAL,0.3148,0.0023,,0.3148,,REVIEWED_PARSER_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5139420020,C-E,total_expense_ratio,PARSER_CORRECT,RESTORED_TO_CANONICAL,0.2198,0.0023,,0.2198,,REVIEWED_PARSER_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5153420063,C-P,total_expense_ratio,REFERENCE_CORRECT,RESTORED_TO_CANONICAL,0.02,0.48,,0.48,,REVIEWED_REFERENCE_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5153420063,C-P2,total_expense_ratio,REFERENCE_CORRECT,RESTORED_TO_CANONICAL,0.02,0.47,,0.47,,REVIEWED_REFERENCE_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5153420079,C-P,total_expense_ratio,BOTH_WRONG,RESTORED_TO_CANONICAL,0.01,1.97,0.49,0.49,3,REVIEWED_BOTH_WRONG,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인 / source_page auto-filled from pdf_review_pack
KR5153420079,C-P2,total_expense_ratio,BOTH_WRONG,RESTORED_TO_CANONICAL,0.01,2.0,0.42,0.42,3,REVIEWED_BOTH_WRONG,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인 / source_page auto-filled from pdf_review_pack
KR5153420105,C-P,total_expense_ratio,BOTH_WRONG,RESTORED_TO_CANONICAL,0.02,1.08,0.44,0.44,3,REVIEWED_BOTH_WRONG,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인 / source_page auto-filled from pdf_review_pack
KR5153420105,C-P2,total_expense_ratio,BOTH_WRONG,RESTORED_TO_CANONICAL,0.02,2.0,0.43,0.43,3,REVIEWED_BOTH_WRONG,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인 / source_page auto-filled from pdf_review_pack
KR5153420318,C-P,total_expense_ratio,REFERENCE_CORRECT,RESTORED_TO_CANONICAL,0.02,0.76,,0.76,,REVIEWED_REFERENCE_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5153420318,C-P2,total_expense_ratio,REFERENCE_CORRECT,RESTORED_TO_CANONICAL,0.02,0.71,,0.71,,REVIEWED_REFERENCE_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5153420339,C-P,total_expense_ratio,REFERENCE_CORRECT,RESTORED_TO_CANONICAL,0.01,0.32,,0.32,,REVIEWED_PARSER_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5153420339,C-P,channel,PARSER_CORRECT,RESTORED_TO_CANONICAL,오프라인,온라인,,오프라인,,REVIEWED_PARSER_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5153420339,C-P2,total_expense_ratio,REFERENCE_CORRECT,RESTORED_TO_CANONICAL,0.01,0.26,,0.26,,REVIEWED_PARSER_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5153420339,C-P2,channel,PARSER_CORRECT,RESTORED_TO_CANONICAL,오프라인,온라인슈퍼,,오프라인,,REVIEWED_PARSER_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5153450009,C-P2E,total_expense_ratio,BOTH_WRONG,RESTORED_TO_CANONICAL,0.02,0.73,0.7,0.7,3,REVIEWED_BOTH_WRONG,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인 / source_page auto-filled from pdf_review_pack
KR5153450209,C-P2E,total_expense_ratio,REFERENCE_CORRECT,RESTORED_TO_CANONICAL,0.02,0.795,,0.795,,REVIEWED_REFERENCE_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5153450250,C-P2E,total_expense_ratio,REFERENCE_CORRECT,RESTORED_TO_CANONICAL,0.02,0.805,,0.805,,REVIEWED_REFERENCE_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5153450268,C-P,total_expense_ratio,BOTH_WRONG,RESTORED_TO_CANONICAL,0.02,4.3,1.54,1.54,3,REVIEWED_PARSER_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인 / source_page auto-filled from pdf_review_pack
KR5153450268,C-P,channel,PARSER_CORRECT,RESTORED_TO_CANONICAL,오프라인,온라인,,오프라인,,REVIEWED_PARSER_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5153450268,C-P2,total_expense_ratio,BOTH_WRONG,RESTORED_TO_CANONICAL,0.02,,1.35,1.35,3,REVIEWED_PARSER_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인 / source_page auto-filled from pdf_review_pack
KR5153450268,C-P2,channel,PARSER_CORRECT,RESTORED_TO_CANONICAL,오프라인,온라인,,오프라인,,REVIEWED_PARSER_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5153450658,C-P,total_expense_ratio,BOTH_WRONG,RESTORED_TO_CANONICAL,0.01,0.99,0.4,0.4,4,REVIEWED_BOTH_WRONG,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인 / source_page auto-filled from pdf_review_pack
KR5153450658,C-P2,total_expense_ratio,BOTH_WRONG,RESTORED_TO_CANONICAL,0.01,2.0,0.39,0.39,4,REVIEWED_BOTH_WRONG,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인 / source_page auto-filled from pdf_review_pack
KR5153450772,C-P,total_expense_ratio,BOTH_WRONG,RESTORED_TO_CANONICAL,0.02,-4.62,1.08,1.08,3,REVIEWED_BOTH_WRONG,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인 / source_page auto-filled from pdf_review_pack
KR5153450772,C-P2,total_expense_ratio,BOTH_WRONG,RESTORED_TO_CANONICAL,0.02,2.0,0.94,0.94,3,REVIEWED_BOTH_WRONG,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인 / source_page auto-filled from pdf_review_pack
KR5153450785,C-P,total_expense_ratio,REFERENCE_CORRECT,RESTORED_TO_CANONICAL,0.015,1.555,,1.555,,REVIEWED_REFERENCE_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5153450785,C-P2,total_expense_ratio,REFERENCE_CORRECT,RESTORED_TO_CANONICAL,0.015,1.395,,1.395,,REVIEWED_REFERENCE_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5153451009,C-P,total_expense_ratio,REFERENCE_CORRECT,RESTORED_TO_CANONICAL,0.02,1.75,,1.75,,REVIEWED_REFERENCE_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5153451009,C-PE,total_expense_ratio,REFERENCE_CORRECT,RESTORED_TO_CANONICAL,0.02,1.27,,1.27,,REVIEWED_REFERENCE_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5153520012,C-P2E,total_expense_ratio,REFERENCE_CORRECT,RESTORED_TO_CANONICAL,0.01,0.29,,0.29,,REVIEWED_REFERENCE_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5157450017,C-P2,total_expense_ratio,PARSER_CORRECT,RESTORED_TO_CANONICAL,1.302,0.002,,1.302,,REVIEWED_PARSER_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5157450017,C-PE1,total_expense_ratio,PARSER_CORRECT,RESTORED_TO_CANONICAL,1.122,0.002,,1.122,,REVIEWED_PARSER_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5157450017,C-PE2,total_expense_ratio,PARSER_CORRECT,RESTORED_TO_CANONICAL,1.002,0.002,,1.002,,REVIEWED_PARSER_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5157450090,C-PE1,total_expense_ratio,PARSER_CORRECT,RESTORED_TO_CANONICAL,1.012,0.002,,1.012,,REVIEWED_PARSER_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5157450090,C-PE1,channel,PARSER_CORRECT,RESTORED_TO_CANONICAL,온라인,오프라인,,온라인,,REVIEWED_PARSER_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5157450090,C-PE2,total_expense_ratio,PARSER_CORRECT,RESTORED_TO_CANONICAL,0.842,0.002,,0.842,,REVIEWED_PARSER_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR518101002M,C-P2E,total_expense_ratio,REFERENCE_CORRECT,RESTORED_TO_CANONICAL,0.01,0.28,,0.28,,REVIEWED_REFERENCE_CORRECT,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR518102001M,C-P2E,total_expense_ratio,BOTH_WRONG,RESTORED_TO_CANONICAL,0.02,0.73,0.7,0.7,3,REVIEWED_BOTH_WRONG,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인 / source_page auto-filled from pdf_review_pack
